"abstract_ts";"access_ss";"Affiliations";"Timestamp";"Author";"citation_count_i";"ID";"dtu_library_collection_facet";"collection_facet";"Publication Year";"Conference";"DOI";"Editor";"embargo_ssf";"format";"fulltext_availability_facet";"has_openaccess_fulltext_b";"holdings_ssf";"ISBN";"Journal Issue";"journal_issue_tsort";"journal_oa_model_ss";"Journal Page";"journal_page_start_tsort";"Journal Title";"journal_title_facet";"toc_key_s";"Journal Volume";"journal_vol_tsort";"keywords_ts";"keywords_facet";"keywords_normalized";"isolanguage_facet";"member_id_ss";"ORCID";"primary_member_id_s";"Publisher";"Source";"source_all_ss";"Title"
"";"dtu|dtupub|third_party";"";"2022-10-14T00:09:32.313Z";"Scognamiglio, Carlo|Esposito, Gianluigi";"";"2714371855";"";"dtu";"2022";"";"";"";"";"thesis";"dtu|dtu_electronic|dtupub|dtupub_electronic";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"und";"6348a8bbbb9681df3b1a0b51";"";"6348a8bbbb9681df3b1a0b51";"DTU Department of Technology, Management and Economics";"sorbit";"sorbit";"Digitalisation and environmental sustainability - impacts and policy needs|Digitalisering og miljømæssig bæredygtighed - indvirkninger og politiske tiltag"
"";"dtu|dtupub|third_party";"";"2022-01-03T13:13:16.843Z";"Idris, Anas Muhammad";"";"2444259716";"";"dtu";"2019";"";"";"";"";"thesis";"dtu|dtu_electronic|dtupub_external";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"und";"5c7e6796d9001d361b4cd4f3";"";"5c7e6796d9001d361b4cd4f3";"DTU Department of Technology, Management and Economics";"sorbit";"sorbit";"Optimizing safety on offshore drilling rigs using big data|Optimering af sikkerheden pa offshore boreplatforme ved brug af big data"
"";"dtu|dtupub|third_party";"";"2022-01-03T13:15:58.526Z";"Krishna, Vinay Belathur";"";"2292736397";"";"dtu";"2015";"";"";"";"";"thesis";"dtu|dtu_electronic|dtupub_external";"";"";"";"";"";"";"";"";"";"";"";"";"";"Master of Science in Engineering|Master of Science in Wind Energy|Vindenergi|kandidat";"Master of Science in Engineering|Master of Science in Wind Energy|Vindenergi|kandidat";"Master of Science in Engineering|Master of Science in Wind Energy|Vindenergi|kandidat";"und";"56d754b6bf194551020006a5";"";"56d754b6bf194551020006a5";"DTU Department of Wind and Energy Systems";"sorbit";"sorbit";"Self-consistency check for nacelle transfer function (NTF) using the nacelle power curve (NPC) and risk assessment for implementing the IEC-61400-12-2 standard|Verifikation af nacelle transformation funktion (NTF) for en nacelle baseret effektkurve (NPC) og risiko vurdering ved indførelse af IEC 61400-12-2 standarden"
"";"dtu|dtupub|third_party";"";"2022-01-03T13:13:23.030Z";"Therkelsen, Kasper Lykkegaard";"";"2595949383";"";"dtu";"2020";"";"";"";"";"thesis";"dtu|dtu_electronic|dtupub_external";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"und";"5f2be5aad9001d016b4e23b0";"";"5f2be5aad9001d016b4e23b0";"DTU Department of Civil and Mechanical Engineering";"sorbit";"sorbit";"Creating a vision for future B&O products|Udvikling af en vision for fremtidige B&O produkter"
"";"dtu|dtupub|third_party";"";"2022-03-22T12:09:56.710Z";"Krüger, Malthe";"";"2708757304";"";"dtu";"2022";"";"";"";"";"thesis";"dtu|dtu_electronic|dtupub_external";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"und";"6239bc943b92bcdb7346a8fb";"";"6239bc943b92bcdb7346a8fb";"DTU Department of Health Technology";"sorbit";"sorbit";"In vitro cornea model for testing cell delivery methods for cell therapies to defeat human blindness|In vitro cornea model for testing cell delivery methods for cell therapies to defeat human blindness"
"";"dtu|dtupub|third_party";"";"2022-01-03T13:06:13.408Z";"Egilsson, Pétur Ingi";"";"2341622219";"";"dtu";"2016";"";"";"";"";"thesis";"dtu|dtu_electronic|dtupub|dtupub_electronic";"";"";"";"";"";"";"";"";"";"";"";"";"";"Informationstek.|Master of Science in Computer Science and Engineering|Master of Science in Engineering|kandidat";"Informationstek.|Master of Science in Computer Science and Engineering|Master of Science in Engineering|kandidat";"Informationstek.|Master of Science in Computer Science and Engineering|Master of Science in Engineering|kandidat";"und";"57b8383f3e47d6ad7700002d";"";"57b8383f3e47d6ad7700002d";"DTU Department of Applied Mathematics and Computer Science";"sorbit";"sorbit";"Model-based Software Validation: Validating Distributed Systems against ECNO Specifications|Model-baseret Software Validering: Validering af distribuerede systemer i forhold til ECNO-specifikationer"
"";"dtu|dtupub|third_party";"";"2022-01-03T13:12:21.820Z";"Østerlund, Mark Thomas";"";"2292734822";"";"dtu";"2015";"";"";"";"";"thesis";"dtu|dtu_electronic|dtupub|dtupub_electronic";"";"";"";"";"";"";"";"";"";"";"";"";"";"Master of Science in Engineering|Master of science in Bioinformatics and Systems Biology|Systembiologi|kandidat";"Master of Science in Engineering|Master of science in Bioinformatics and Systems Biology|Systembiologi|kandidat";"Master of Science in Engineering|Master of science in Bioinformatics and Systems Biology|Systembiologi|kandidat";"und";"56d754adbf1945510200024c";"";"56d754adbf1945510200024c";"DTU Department of Biotechnology and Biomedicine";"sorbit";"sorbit";"Selection of 16S rRNA variable regions to optimise precision and recall when mapping reads|Udvælgelse af 16S rRNA variable regioner til optimering af precision og recall ved mapping af reads"
"";"dtu|dtupub|third_party";"";"2022-01-03T13:15:59.027Z";"Lazar, Bogdan Mihai";"";"2292735434";"";"dtu";"2015";"";"";"";"";"thesis";"dtu|dtu_electronic|dtupub|dtupub_electronic";"";"";"";"";"";"";"";"";"";"";"";"";"";"Master of Science in Engineering|Master of Science in Engineering Management|Planl. innovation og led.|kandidat";"Master of Science in Engineering|Master of Science in Engineering Management|Planl. innovation og led.|kandidat";"Master of Science in Engineering|Master of Science in Engineering Management|Planl. innovation og led.|kandidat";"und";"56d754b0bf194551020003c6";"";"56d754b0bf194551020003c6";"DTU Department of Technology, Management and Economics";"sorbit";"sorbit";"Metaheuristics for the Dynamic Patient Admission Scheduling Problem|Metaheuristics for the Dynamic Patient Admission Scheduling Problem"
"";"dtu|dtupub|third_party";"";"2022-01-06T23:56:27.001Z";"Ottersland, Jonas";"";"2438297454";"";"dtu";"2018";"";"";"";"";"thesis";"dtu|dtu_electronic|dtupub|dtupub_electronic";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"und";"5b7167745010df018159816e";"";"5b7167745010df018159816e";"DTU Department of Civil Engineering";"sorbit";"sorbit";"Super-light spatial structures|Super.lette rumkonstruktioner"
"";"dtu|dtupub|third_party";"";"2023-12-12T11:26:16.203Z";"Nistor, Mihaela-Elena";"";"2730276314";"";"dtu";"2023";"";"";"";"";"thesis";"dtu|dtu_electronic|dtupub_external";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"und";"65711b3fcc59a113162656cc";"";"65711b3fcc59a113162656cc";"DTU Department of Applied Mathematics and Computer Science";"sorbit";"sorbit";"Machine Learning Pipelines for GDPR compliant models used for epilepsy diagnosis|En GDPR compliant pipeline for maskinlæring til brug i diagnose af epilepsi"
