cluster_id,share_first_year,share_last_year,share_change,share_slope,first_year_active,last_year_active,n_years_active,only_recent_years
112,0.0141,1.0,0.9859,0.082599,2019,2026,8,False
95,0.0,0.0,0.0,6.7e-05,2020,2025,6,False
31,0.0,0.0,0.0,0.000395,2020,2025,6,False
94,0.0,0.0,0.0,0.000593,2020,2025,6,False
24,0.0,0.0,0.0,0.000205,2020,2025,6,False
93,0.0,0.0,0.0,-0.00014,2020,2025,6,False
28,0.0,0.0,0.0,0.00033,2020,2025,6,False
29,0.0,0.0,0.0,8.2e-05,2021,2025,4,False
87,0.0,0.0,0.0,0.000202,2020,2025,6,False
65,0.0,0.0,0.0,0.000248,2020,2025,6,False
53,0.0,0.0,0.0,0.000242,2020,2025,6,False
74,0.0,0.0,0.0,0.000632,2022,2025,4,False
36,0.0,0.0,0.0,0.000721,2021,2025,5,False
83,0.0,0.0,0.0,-0.000369,2020,2025,6,False
82,0.0,0.0,0.0,0.000486,2022,2025,4,False
41,0.0,0.0,0.0,0.000373,2020,2025,6,False
43,0.0,0.0,0.0,0.000911,2021,2025,4,False
71,0.0,0.0,0.0,4.5e-05,2020,2025,6,False
75,0.0,0.0,0.0,0.000274,2021,2025,5,False
104,0.0,0.0,0.0,0.000269,2020,2025,6,False
55,0.0,0.0,0.0,-1.7e-05,2020,2025,5,False
102,0.0,0.0,0.0,-6.5e-05,2020,2024,4,False
103,0.0,0.0,0.0,-0.000965,2020,2025,6,False
110,0.0,0.0,0.0,5.1e-05,2021,2025,5,False
57,0.0,0.0,0.0,0.000465,2020,2025,6,False
69,0.0,0.0,0.0,-9.9e-05,2020,2025,6,False
60,0.0,0.0,0.0,-0.000386,2020,2025,6,False
10,0.0,0.0,0.0,0.000446,2022,2025,4,False
107,0.0,0.0,0.0,-4.8e-05,2020,2025,6,False
8,0.0,0.0,0.0,-0.000663,2020,2025,6,False
84,0.0024,0.0,-0.0024,-6.8e-05,2019,2025,6,False
63,0.0024,0.0,-0.0024,0.000163,2019,2025,5,False
48,0.0024,0.0,-0.0024,0.00029,2019,2025,5,False
62,0.0024,0.0,-0.0024,0.000165,2019,2025,5,False
37,0.0024,0.0,-0.0024,6.1e-05,2019,2025,7,False
19,0.0024,0.0,-0.0024,0.000658,2019,2025,7,False
20,0.0024,0.0,-0.0024,-3.3e-05,2019,2025,6,False
88,0.0024,0.0,-0.0024,0.000142,2019,2025,7,False
