cluster_id,cluster_size,top_keywords
-1,1488,figure|cid|data|model|10|time|wind|used|energy|results|using|different|based|et|al
0,20,thz|graphene|pulse|spectroscopy|glucose|figure|field|cid|sample|probe|2d|signal|time|conductivity|optical
1,25,string|compression|tree|strings|node|query|hash|cid|bits|algorithm|lg|data|time|array|lemma
2,15,wear|cid|bearing|shaft|pressure|ring|contact|model|figure|damping|friction|rpm|load|rolling|stiffness
3,20,rotor|shaft|magnetic|cid|bearing|hz|fault|mode|modal|figure|controller|model|modes|rotating|damping
4,30,hardness|grain|grains|corrosion|powder|steel|figure|specimen|annealing|samples|specimens|sample|laser|weld|fusion
5,22,coating|raman|corrosion|coatings|epoxy|surface|figure|fe|particles|samples|water|blood|10|sample|panels
6,18,model|dose|ns|concentration|drug|cl|neurons|pk|compartment|data|figure|brain|sampling|cid|time
7,17,nozzle|fuel|pressure|combustion|methanol|liquid|model|mesh|cid|velocity|diesel|injection|vapor|valve|engine
8,26,data|fault|model|figure|maintenance|machine|temperature|heat|learning|models|sensor|time|pump|detection|dataset
9,15,patient|patients|hospital|bed|healthcare|layout|model|ward|design|staff|simulation|10|time|flexibility|solution
10,33,radar|antenna|satellite|figure|mission|db|frequency|orbit|signal|power|ghz|cid|band|design|sar
11,39,ray|star|10|detector|figure|et|al|roughness|data|mass|coating|energy|spectra|emission|nm
12,87,printing|hydrogel|cell|figure|cells|tissue|3d|printed|µm|10|mm|fabrication|culture|used|chip
13,20,cid|deg|let|codes|code|q2|theorem|vp|polynomial|proof|lemma|key|q3|security|ring
14,36,wind|aep|farm|turbine|turbines|wake|optimization|layout|lcoe|energy|power|yaw|gwh|figure|farms
15,15,og|af|er|på|som|med|timber|til|det|compartment|heat|temperature|en|der|smoke
16,15,smoke|obst|surf_id|xb|wind|id|temperature|beam|compartment|beams|cfd|10|ventilation|model|inert
17,43,nmr|reaction|1h|compound|acid|catalyst|10|synthesis|mmol|compounds|oil|ml|figure|cd|hz
18,17,river|water|discharge|reservoir|data|model|basin|calibration|satellite|figure|00|elevation|flow|stations|area
19,20,solar|cells|layer|deposition|deposited|te|figure|film|annealing|cu|cell|photovoltaic|band|electron|energy
20,20,wake|wind|turbine|velocity|mesh|cfd|rotor|figure|wave|turbulent|surge|turbines|model|turbulence|actuator
21,92,fish|species|marine|sea|et|al|cod|fishing|10|data|larvae|abundance|north|biomass|figure
22,21,arch|load|bridge|cid|deck|moment|sl|concrete|span|bending|force|figure|forces|kn|dead
23,41,peptide|1h|drug|nmr|phage|protein|compound|ml|reaction|antibody|10|antibodies|µl|2h|peptides
24,21,drug|release|delivery|fiber|fibers|polymer|cells|figure|cell|fabrication|ph|sem|ml|coating|surface
25,25,protein|proteins|precipitation|10|kinetic|peptides|concentration|nacl|samples|ph|figure|buffer|particle|data|aggregation
26,17,uv|fish|water|bacteria|dose|treatment|virus|mg|cm2|concentration|ml|10|et|al|exposure
27,42,atom|atoms|model|molecules|energy|catalyst|cid|training|molecular|figure|pt|adsorption|reaction|molecule|data
28,37,co2|solvent|gas|liquid|molar|temperature|cid|amine|water|figure|pressure|solvents|capture|reservoir|absorption
29,44,flood|model|data|rainfall|precipitation|water|rain|figure|training|lstm|time|models|learning|events|np
30,65,voltage|power|converter|grid|fault|cid|hvdc|wind|reactive|converters|control|offshore|frequency|figure|current
31,26,converter|voltage|dc|capacitor|power|current|frequency|switching|circuit|figure|input|output|core|amplifier|losses
32,45,damping|cid|mode|modal|frequency|figure|frequencies|hz|model|modes|damage|fe|beam|response|steel
33,48,injection|printing|figure|extrusion|material|cid|3d|mm|manufacturing|process|mold|temperature|surface|polymer|pressure
34,46,element|mesh|cid|optimization|topology|stress|figure|design|elements|material|load|stiffness|buckling|model|strain
35,59,cid|nm|graphene|quantum|figure|etch|etching|sample|optical|wafer|pl|substrate|photon|band|resist
36,29,ice|sea|snow|data|greenland|gravity|figure|radar|arctic|surface|depth|gnss|satellite|height|survey
37,23,mixing|model|tank|oxygen|bubble|flow|liquid|concentration|time|gas|cid|mesh|velocity|shear|ph
38,18,wind|drone|aerodynamic|rotor|drag|power|lift|cid|blade|angle|flight|figure|turbine|airfoil|chord
39,40,blade|wind|turbine|tip|rotor|blades|aerodynamic|model|cid|loads|optimization|design|figure|chord|wake
40,59,mhc|protein|peptide|peptides|hla|tcr|proteins|sequences|amino|sequence|binding|model|auc|residues|models
41,25,airfoil|vortex|roughness|velocity|lift|flow|drag|reynolds|pressure|cf|figure|mesh|model|wall|fig
42,17,enzyme|electrode|membrane|electrodes|electrochemical|415|membranes|ph|enzymes|protein|10|surface|cid|figure|mm
43,19,production|scheduling|products|model|supply|planning|demand|time|facility|np|manufacturing|chain|capacity|sets|batch
44,24,cid|raman|pump|fiber|power|signal|noise|qr|ω2|phase|figure|polarization|optical|frequency|wavelength
45,29,cavity|cid|laser|quantum|optical|figure|nm|photon|power|chip|coupling|light|pump|mode|fabrication
46,32,crack|cid|specimen|fracture|figure|fatigue|stress|wind|material|droplet|coating|weld|strain|load|energy
47,28,shear|concrete|strain|displacement|specimen|cid|mm|load|reinforcement|failure|crack|figure|beam|kn|stiﬀness
48,25,wind|turbine|power|cid|pitch|speed|controller|control|frequency|rotor|tower|turbines|figure|bess|torque
49,31,ice|sar|sentinel|radar|data|greenland|image|figure|deformation|cid|model|pixels|learning|satellite|images
50,24,swot|data|satellite|sentinel|river|sea|water|ocean|figure|float|surface|ice|cid|model|depths
51,16,ammonia|nh3|ppm|nox|o2|22|fuel|temperature|h2|n2|conversion|reactor|hydrogen|100|76
52,17,sludge|model|tank|control|wastewater|neural|cid|temperature|anaerobic|data|diﬀerent|ﬂow|salt|figure|models
53,17,ion|cathode|cid|electrolyte|cell|battery|batteries|lithium|synthesis|discharge|capacity|coating|sodium|figure|specimen
54,40,electrode|cell|electrochemical|electrolysis|electrolyte|fuel|electrodes|membrane|voltage|impedance|hydrogen|energy|figure|cathode|temperature
55,35,wind|speed|wake|model|turbine|farm|data|figure|height|uncertainty|10|speeds|forecast|power|energy
56,15,wind|turbine|model|blade|data|speed|training|turbines|learning|turbulence|figure|tower|lstm|pca|dataset
57,29,wind|mooring|floating|turbine|pitch|offshore|yaw|rotor|tower|turbines|speed|controller|figure|energy|damping
58,22,wave|waves|force|kc|velocity|figure|forces|cylinder|offshore|actuator|experimental|cid|model|frequency|motion
59,27,water|soil|rain|hydraulic|concentration|discharge|sediment|groundwater|data|concentrations|figure|10|model|river|et
60,19,biogas|co2|gas|ch4|electricity|price|energy|hydrogen|electrolysis|h2|methane|prices|methanol|plant|00
61,23,fuel|co2|methanol|cid|production|energy|carbon|storage|fuels|jet|shipping|plant|heat|hydrogen|emissions
62,30,sludge|pyrolysis|biochar|methanol|biomass|cid|sewage|biogas|water|heat|reactor|methane|gas|carbon|anaerobic
63,19,water|membrane|mg|drinking|reactors|sediment|wastewater|concentrations|lake|ph|concentration|membranes|anode|figure|al
64,25,diabetes|glucose|user|blood|users|data|patients|app|patient|cid|meal|model|workload|prototype|design
65,17,hydrogen|energy|electricity|production|electrolysis|2050|nuclear|demand|heat|renewable|gas|emissions|electrolyzer|eu|h2
66,39,concrete|cement|specimens|ash|clay|water|soil|chloride|ice|figure|cid|test|specimen|content|temperature
67,21,rock|porosity|shear|figure|stress|density|sand|pore|clay|log|bulk|test|logs|samples|strength
68,46,pv|irradiance|solar|module|photovoltaic|modules|figure|degradation|cell|panels|cells|defects|power|uv|samples
69,60,cells|cell|il|cancer|immune|tumor|cd8|protein|antigen|mice|expression|gene|proteins|tcr|mhc
70,29,concrete|cid|specimen|load|reinforcement|strength|mpa|figure|kn|modulus|mortar|mm|specimens|slab|10
71,19,timber|clt|design|building|wall|structural|wood|load|shear|kn|buildings|construction|floor|cid|element
72,19,wastewater|growth|treatment|cultivation|biomass|water|mg|nutrient|light|removal|et|nitrogen|al|ph|cod
73,18,pfas|resin|soil|water|exposure|10|al|ng|et|groundwater|substances|ons|compounds|treatment|concentrations
74,27,sludge|concentration|degradation|water|groundwater|concentrations|toxicity|soil|µg|mg|oxygen|et|al|oil|10
75,26,speech|audio|hearing|music|training|model|noise|models|dataset|neural|learning|loss|signal|trained|snr
76,19,bim|design|building|construction|digital|project|process|information|industry|figure|management|owner|collaboration|data|twin
77,33,portfolio|market|model|cid|risk|data|returns|learning|models|assets|feature|trading|features|asset|price
78,23,graph|algorithm|cid|vertices|nodes|node|lemma|time|edges|graphs|problem|platform|int|agents|solution
79,27,bayesian|model|algorithm|cid|learning|memory|mutation|probability|figure|fitness|function|ea|agents|algorithms|optimization
80,27,agent|agents|cid|game|state|action|algorithm|s0|planning|actions|goal|attention|domain|plan|model
81,39,service|cloud|api|services|architecture|data|application|request|migration|deployment|code|client|server|cid|model
82,54,heat|solar|collector|temperature|energy|storage|thermal|heating|tank|pump|figure|pv|water|electricity|kwh
83,45,process|event|mining|cid|model|data|object|activity|diagram|algorithm|business|time|stream|pipeline|artifact
84,18,cid|kernel|gaussian|likelihood|matrix|theorem|12|covariance|self|let|gp|function|log|data|np
85,18,model|forecast|forecasting|forecasts|price|models|data|wind|electricity|prices|market|time|lstm|energy|power
86,27,bacteria|strains|sp|culture|metabolites|10|bacterial|isolates|et|al|doi|genes|marine|assay|gene
87,42,time|solution|bags|algorithm|problem|instances|vessel|route|vessels|instance|port|heuristic|cost|10|routing
