cluster_id,year,count,share
0,2019,2,0.0047
0,2020,3,0.0053
0,2021,6,0.0097
0,2022,7,0.0108
0,2023,9,0.0094
0,2024,3,0.0035
1,2019,4,0.0094
1,2020,5,0.0089
1,2021,9,0.0146
1,2022,3,0.0046
1,2023,8,0.0084
1,2024,12,0.0142
1,2025,11,0.0123
2,2019,3,0.0071
2,2020,10,0.0177
2,2022,9,0.0138
2,2023,12,0.0126
2,2024,8,0.0094
2,2025,10,0.0111
3,2019,7,0.0165
3,2020,3,0.0053
3,2021,3,0.0049
3,2024,7,0.0083
3,2025,10,0.0111
4,2019,42,0.0988
4,2020,42,0.0745
4,2021,49,0.0794
4,2022,45,0.0691
4,2023,50,0.0523
4,2024,41,0.0484
4,2025,54,0.0602
5,2019,10,0.0235
5,2020,8,0.0142
5,2021,7,0.0113
5,2022,7,0.0108
5,2023,8,0.0084
5,2024,4,0.0047
5,2025,16,0.0178
6,2019,8,0.0188
6,2020,4,0.0071
6,2022,2,0.0031
6,2023,5,0.0052
6,2024,9,0.0106
6,2025,3,0.0033
7,2019,3,0.0071
7,2020,11,0.0195
7,2021,4,0.0065
7,2022,5,0.0077
7,2023,7,0.0073
8,2020,7,0.0124
8,2021,4,0.0065
8,2022,2,0.0031
8,2023,5,0.0052
8,2024,2,0.0024
8,2025,3,0.0033
9,2019,3,0.0071
9,2020,1,0.0018
9,2021,1,0.0016
9,2022,1,0.0015
9,2023,2,0.0021
9,2024,5,0.0059
9,2025,5,0.0056
10,2022,5,0.0077
10,2023,3,0.0031
10,2024,4,0.0047
10,2025,5,0.0056
11,2019,2,0.0047
11,2021,1,0.0016
11,2022,3,0.0046
11,2023,3,0.0031
11,2024,10,0.0118
11,2025,2,0.0022
12,2019,2,0.0047
12,2020,5,0.0089
12,2021,11,0.0178
12,2022,3,0.0046
12,2023,18,0.0188
12,2024,21,0.0248
12,2025,28,0.0312
13,2019,2,0.0047
13,2020,2,0.0035
13,2021,7,0.0113
13,2022,2,0.0031
13,2023,5,0.0052
13,2024,2,0.0024
13,2025,8,0.0089
14,2019,15,0.0353
14,2020,14,0.0248
14,2021,23,0.0373
14,2022,23,0.0353
14,2023,48,0.0502
14,2024,35,0.0413
14,2025,35,0.039
15,2019,4,0.0094
15,2020,12,0.0213
15,2021,6,0.0097
15,2022,10,0.0154
15,2023,8,0.0084
15,2024,8,0.0094
15,2025,11,0.0123
16,2019,3,0.0071
16,2020,6,0.0106
16,2021,7,0.0113
16,2022,3,0.0046
16,2023,10,0.0105
16,2024,7,0.0083
16,2025,8,0.0089
17,2019,3,0.0071
17,2020,6,0.0106
17,2021,5,0.0081
17,2022,6,0.0092
17,2023,17,0.0178
17,2024,4,0.0047
17,2025,6,0.0067
18,2019,3,0.0071
18,2020,5,0.0089
18,2021,16,0.0259
18,2022,7,0.0108
18,2023,5,0.0052
18,2024,10,0.0118
18,2025,12,0.0134
19,2019,1,0.0024
19,2020,1,0.0018
19,2021,7,0.0113
19,2022,8,0.0123
19,2023,8,0.0084
19,2024,10,0.0118
19,2025,15,0.0167
20,2019,1,0.0024
20,2020,4,0.0071
20,2021,4,0.0065
20,2023,7,0.0073
20,2024,8,0.0094
20,2025,6,0.0067
21,2019,7,0.0165
21,2020,2,0.0035
21,2021,5,0.0081
21,2022,6,0.0092
21,2023,11,0.0115
21,2024,7,0.0083
21,2025,3,0.0033
22,2019,4,0.0094
22,2020,4,0.0071
22,2021,7,0.0113
22,2022,4,0.0061
22,2023,10,0.0105
22,2024,3,0.0035
22,2025,9,0.01
23,2019,15,0.0353
23,2020,13,0.023
23,2021,18,0.0292
23,2022,16,0.0246
23,2023,25,0.0262
23,2024,13,0.0153
23,2025,17,0.019
24,2020,3,0.0053
24,2021,2,0.0032
24,2022,3,0.0046
24,2023,8,0.0084
24,2024,3,0.0035
24,2025,7,0.0078
25,2019,3,0.0071
25,2020,9,0.016
25,2021,22,0.0357
25,2022,11,0.0169
25,2023,12,0.0126
25,2024,6,0.0071
25,2025,3,0.0033
26,2019,4,0.0094
26,2021,2,0.0032
26,2022,3,0.0046
26,2023,8,0.0084
26,2024,7,0.0083
26,2025,3,0.0033
27,2019,6,0.0141
27,2021,2,0.0032
27,2023,7,0.0073
27,2025,3,0.0033
28,2020,1,0.0018
28,2021,4,0.0065
28,2022,1,0.0015
28,2023,8,0.0084
28,2024,6,0.0071
28,2025,5,0.0056
29,2021,5,0.0081
29,2023,4,0.0042
29,2024,3,0.0035
29,2025,3,0.0033
30,2019,7,0.0165
30,2021,3,0.0049
30,2022,5,0.0077
30,2023,2,0.0021
30,2024,8,0.0094
30,2025,3,0.0033
31,2020,1,0.0018
31,2021,4,0.0065
31,2022,3,0.0046
31,2023,1,0.001
31,2024,9,0.0106
31,2025,6,0.0067
32,2019,5,0.0118
32,2020,3,0.0053
32,2022,4,0.0061
32,2023,1,0.001
32,2024,2,0.0024
32,2025,9,0.01
33,2019,8,0.0188
33,2020,5,0.0089
33,2021,4,0.0065
33,2024,2,0.0024
34,2019,2,0.0047
34,2020,8,0.0142
34,2021,5,0.0081
34,2022,5,0.0077
34,2023,4,0.0042
34,2024,7,0.0083
34,2025,7,0.0078
35,2019,5,0.0118
35,2020,12,0.0213
35,2021,8,0.013
35,2022,23,0.0353
35,2023,20,0.0209
35,2024,26,0.0307
35,2025,28,0.0312
36,2021,1,0.0016
36,2022,4,0.0061
36,2023,2,0.0021
36,2024,7,0.0083
36,2025,8,0.0089
37,2019,1,0.0024
37,2020,4,0.0071
37,2021,1,0.0016
37,2022,4,0.0061
37,2023,4,0.0042
37,2024,4,0.0047
37,2025,9,0.01
38,2019,2,0.0047
38,2020,2,0.0035
38,2021,6,0.0097
38,2022,1,0.0015
38,2024,3,0.0035
38,2025,3,0.0033
39,2019,7,0.0165
39,2020,1,0.0018
39,2021,3,0.0049
39,2022,3,0.0046
39,2023,10,0.0105
39,2024,4,0.0047
39,2025,10,0.0111
40,2019,7,0.0165
40,2020,3,0.0053
40,2021,4,0.0065
40,2022,6,0.0092
40,2023,8,0.0084
40,2024,5,0.0059
40,2025,1,0.0011
41,2020,3,0.0053
41,2021,6,0.0097
41,2022,6,0.0092
41,2023,15,0.0157
41,2024,7,0.0083
41,2025,10,0.0111
42,2019,5,0.0118
42,2020,7,0.0124
42,2021,7,0.0113
42,2022,11,0.0169
42,2023,20,0.0209
42,2024,4,0.0047
42,2025,23,0.0256
43,2021,9,0.0146
43,2023,2,0.0021
43,2024,16,0.0189
43,2025,11,0.0123
44,2019,3,0.0071
44,2020,3,0.0053
44,2021,1,0.0016
44,2022,7,0.0108
