member_id_ss,Department_new,cluster_id,year
67be6a2d56d32566d74defce,DTU Food,94,2025
67be6a16754a9d66d7be5fb3,DTU Construct,7,2025
689d294027df7f01020cebe5,DTU Compute,83,2025
688d57728e1e270102bab9b6,DTU Sustain,-1,2025
676220d877b049a804be5ce2,DTU Health Tech,40,2024
67bbc6e1c6a30266d76ec02d,DTU Health Tech,144,2025
67bd187447e44866d7925154,DTU Compute,110,2025
6886bff25e7ec30102607cc4,DTU Compute,125,2025
64bdc1f6b1ddc63131d848be,DTU Electro,-1,2023
6626fc44d752221afd23fd75,DTU Compute,-1,2024
5daee40bd9001d016132bbc6,DTU Wind,14,2019
633ccb395e2dfd33f9e4fa2c,DTU Management,150,2022
621cbb98b08f9c235e451d48,DTU Electro,109,2022
66a58c56814707e8f3cfdb15,DTU Bioengineering,69,2024
5d3d8388d9001d32f558c1cc,DTU Management,-1,2019
5d7e1c71d9001d016f1553bb,DTU Construct,3,2019
5ce7d169d9001d016b01c693,DTU Construct,37,2019
640fc959a265c03abba64e46,DTU Wind,39,2023
68914be53edec00102781452,DTU Bioengineering,101,2025
66c681e0b639a4204ce4cf24,DTU Construct,146,2024
669468d44a0fa4e8f39d0323,DTU Compute,-1,2024
65f4f15674c9e51e2e12c8d6,DTU Compute,96,2024
63e2f64401bdc72dce870c54,DTU Compute,83,2023
669468d28159b1e8f381b189,DTU Compute,96,2024
666b8a5a928dd117d3f01a56,DTU Management,87,2024
65b84c5847263a3e82be75fa,DTU Electro,136,2023
5f3a6624d9001d01721d7c7f,DTU Bioengineering,86,2020
610bc70fd9001d01621578ef,DTU Compute,113,2021
610a75afd9001d01621578e7,DTU Aqua,21,2021
6109242fd9001d01622e8ec6,DTU Construct,66,2021
6364663ea2e7022a4bf134cd,DTU Construct,122,2022
6709be5172dba743d9472118,DTU Construct,41,2024
5d36eb6bd9001d016b2469cd,DTU Management,60,2019
5d74e1edd9001d017228280b,DTU Sustain,52,2019
5d2c5f63d9001d018a233445,DTU Sustain,63,2019
5e9ed4fed9001d016475f454,DTU Construct,-1,2020
5f43a086d9001d01721d7dd0,DTU Management,116,2020
5f58b880d9001d01706cbc57,DTU Construct,-1,2020
605f20bad9001d0166530509,DTU Sustain,29,2021
61389a14d9001d01625ca124,DTU Compute,95,2021
60fe984ed9001d01622e8e25,DTU Chemical Engineering,42,2021
62f83d38d7510b03a45de5c9,DTU Wind,57,2022
630ea6c6578a9b251177e8a5,DTU Electro,41,2022
6527392eeb1a431b72a4189a,DTU Wind,107,2023
65d158d23fdd7d33271b5886,DTU Management,77,2024
64d81f8ae4284120524dec1d,DTU Electro,138,2023
64ea9432a81e582052b6ce38,DTU Construct,3,2023
603f7ca8d9001d0165005527,DTU Sustain,-1,2021
5f56158ed9001d01706cbb93,DTU Food,-1,2020
64ab4c99152ea6915289bea8,DTU Health Tech,12,2023
64adef78036d64915230f6ab,DTU Management,90,2023
65de881adbbe62017422436e,DTU Physics,35,2024
63d1d2c0dd691a1e04a6bab2,DTU Electro,0,2022
66a6ddd3b8c5f1e8f310bd59,DTU Construct,153,2024
64c6fc01e120491f4f723c50,DTU Wind,124,2023
66a82fc801e1b7e8f3537559,DTU Construct,-1,2024
612f5fb9d9001d017237203c,DTU Health Tech,-1,2021
5f20084dd9001d016b4e2142,DTU Construct,32,2020
5f35202cd9001d01697d6a68,DTU Electro,-1,2020
5f843aa5d9001d0170025924,DTU Health Tech,6,2020
5e79f906d9001d8ba34d1dc0,DTU Compute,52,2020
61110d1bd9001d016215791f,DTU Management,92,2021
621624295b08f5235e501ef5,DTU Construct,153,2022
64111ad56a4b293abba3c1dc,DTU Construct,58,2023
5f479507d9001d01721d7e5e,DTU Construct,-1,2020
63fea5e4333bcd3bca3e3382,DTU Wind,-1,2023
64b487054b4ef59152fc7567,DTU Construct,96,2023
640d26573d8d293a3fdaf925,DTU Construct,97,2023
5d3d836bd9001d32f558c188,DTU Electro,131,2019
5e8719eed9001d01631874fa,DTU Physics,-1,2020
615eefb6d9001d1b965a69c1,DTU Energy,53,2021
5d6f9c25d9001d66e802185b,DTU Electro,-1,2019
5f7ef4c2d9001d01700258ec,DTU Physics,27,2020
5ce3dceed9001d016b1cc368,DTU Electro,45,2019
65fa3760edc4881e2e5908ab,DTU Sustain,-1,2024
66bd4750d7d9bce8f39a1976,DTU Engineering Technology,-1,2024
66ac23cc151af7e8f3abf298,DTU Chemical Engineering,-1,2024
66c13bd029b8fbe8f3ef1d0e,DTU Management,61,2024
60364287d9001d01656e1cb8,DTU Construct,33,2020
66970bc5989533e8f339beeb,DTU Construct,32,2024
6216242c1a10a3235e3b77b2,DTU Construct,134,2022
62dddf97f0b6e354e49f96a1,DTU Compute,80,2022
651615ae3dc83d03b3f4a190,DTU Sustain,59,2023
5f0d9335d9001d016b4e1deb,DTU Compute,-1,2020
64bdc1ee0267d63131efbdf0,DTU Wind,57,2023
