faculty,n_theses,mean_word_count,median_word_count,mean_sentence_count,mean_words_per_sentence,mean_type_token_ratio
"DTU Department of Technology, Management and Economics",17,27517.529411764706,24446.0,2188.1176470588234,12.547013504571002,0.12613164270257848
DTU Department of Applied Mathematics and Computer Science,17,26355.764705882353,26879.0,2208.529411764706,12.404930390888142,0.12555529623430958
DTU Department of Environmental and Resource Engineering,13,35026.38461538462,25776.0,3013.923076923077,12.036409657589882,0.12886696520184995
DTU Department of Electrical and Photonics Engineering,8,21218.25,20338.0,1467.125,14.893115850118907,0.1400768638532453
DTU Department of Civil and Mechanical Engineering,6,32338.5,25321.0,2309.5,14.201928319751644,0.11430501377352821
DTU Department of Health Technology,6,22145.5,23878.0,1804.1666666666667,12.433002976096704,0.14642730823133718
DTU Department of Chemical and Biochemical Engineering,6,23809.833333333332,23179.5,2023.8333333333333,11.826108549726555,0.13230278432768164
DTU Department of Civil Engineering,5,30346.8,27318.0,3126.2,10.321239068585049,0.11131684368519532
DTU Department of Electrical Engineering,4,20316.25,19735.5,1639.75,12.73799827959451,0.10497633714897814
DTU Department of Biotechnology and Biomedicine,4,15465.25,13402.5,1454.25,11.412917218139649,0.1734933896474003
DTU Department of Physics,3,22268.333333333332,16955.0,1845.0,11.990322010689129,0.14109797514958308
DTU Department of Wind and Energy Systems,3,24299.0,20260.0,2410.3333333333335,12.14762339129119,0.12694828549587783
DTU DTU National Food Institute,2,18447.5,18447.5,1904.5,9.784779326701258,0.17251654189253113
DTU Department of Energy Conversion and Storage,2,18536.0,18536.0,1773.0,10.383576953731708,0.1717767657900796
DTU Department of Space Research and Space Technology,2,41404.0,41404.0,3914.0,10.57843638221768,0.08305960776736547
DTU National Institute of Aquatic Resources,1,13975.0,13975.0,1127.0,12.400177462289264,0.17302325581395347
DTU Department of Chemistry,1,23873.0,23873.0,5478.0,4.35797736400146,0.1959116994093746
