thesis_id,rank,neighbor_id,cosine_similarity
2868333190,1,2612727037,0.8624
2868333190,2,2710006506,0.8188
2868333190,3,2710670113,0.8067
2868333190,4,2719955123,0.7874
2868333190,5,2719955123,0.7874
2868333190,6,2737410731,0.7796
2868333190,7,2737410731,0.7796
2868333190,8,2737410731,0.7796
2868333190,9,2496728118,0.7741
2868333190,10,2496728118,0.7741
2868333131,1,2697798453,0.7292
2868333131,2,2723591778,0.7016
2868333131,3,2738544799,0.7014
2868333131,4,2738544799,0.7014
2868333131,5,2874216389,0.6754
2868333131,6,2874216389,0.6754
2868333131,7,2736831034,0.6629
2868333131,8,2736831034,0.6629
2868333131,9,2736831034,0.6629
2868333131,10,2644416584,0.6613
2872988369,1,2873041225,0.7211
2872988369,2,2735732220,0.6795
2872988369,3,2873869675,0.6762
2872988369,4,2731326830,0.6757
2872988369,5,2692726044,0.6654
2872988369,6,2735225194,0.6571
2872988369,7,2870232912,0.647
2872988369,8,2738355916,0.6435
2872988369,9,2738355916,0.6435
2872988369,10,2873307997,0.641
2872712978,1,2735269671,0.7112
2872712978,2,2666944619,0.6394
2872712978,3,2666944619,0.6394
2872712978,4,2735225034,0.6256
2872712978,5,2727253386,0.6155
2872712978,6,2727253386,0.6155
2872712978,7,2737702156,0.5955
2872712978,8,2737702156,0.5955
2872712978,9,2737702156,0.5955
2872712978,10,2691488496,0.5783
2854137646,1,2713518827,0.8132
2854137646,2,2713518827,0.8132
2854137646,3,2713518827,0.8132
2854137646,4,2873765655,0.7874
2854137646,5,2873205620,0.7567
2854137646,6,2873205620,0.7567
2854137646,7,2873205620,0.7567
2854137646,8,2868548133,0.7293
2854137646,9,2737859106,0.6998
2854137646,10,2524918650,0.6957
2868255922,1,2872420847,0.8045
2868255922,2,2712912876,0.777
2868255922,3,2712912876,0.777
2868255922,4,2712912876,0.777
2868255922,5,2727822053,0.7342
2868255922,6,2726919713,0.7329
2868255922,7,2726919713,0.7329
2868255922,8,2595588463,0.72
2868255922,9,2730276306,0.7186
2868255922,10,2452975986,0.7114
2868295057,1,2720010061,0.7729
2868295057,2,2723300317,0.6956
2868295057,3,2450921609,0.6819
2868295057,4,2738459349,0.6803
2868295057,5,2728931047,0.6685
2868295057,6,2853104369,0.6641
2868295057,7,2723582267,0.6637
2868295057,8,2737616910,0.6629
2868295057,9,2737616910,0.6629
2868295057,10,2450280295,0.6625
2872572203,1,2873132321,0.7932
2872572203,2,2873132321,0.7932
2872572203,3,2737065998,0.7821
2872572203,4,2737065998,0.7821
2872572203,5,2737065998,0.7821
2872572203,6,2707583767,0.715
2872572203,7,2733713083,0.7133
2872572203,8,2733713083,0.7133
2872572203,9,2452033410,0.6859
2872572203,10,2870494273,0.6832
2727253558,1,2727401448,0.8332
2727253558,2,2727401448,0.8332
2727253558,3,2451028647,0.7388
2727253558,4,2737859108,0.735
2727253558,5,2693004126,0.7298
2727253558,6,2735671777,0.72
2727253558,7,2735671777,0.72
2727253558,8,2735671777,0.72
2727253558,9,2713316526,0.7178
2727253558,10,2728235976,0.7054
2735732220,1,2735225194,0.756
2735732220,2,2713252726,0.7465
2735732220,3,2873132321,0.7174
2735732220,4,2873132321,0.7174
2735732220,5,2692726044,0.7168
2735732220,6,2738355916,0.7147
2735732220,7,2738355916,0.7147
2735732220,8,2870336053,0.7088
2735732220,9,2873041225,0.6838
2735732220,10,2640810793,0.6827
2466618301,1,2872567052,0.7108
2466618301,2,2872567052,0.7108
2466618301,3,2712810212,0.7042
2466618301,4,2712810212,0.7042
2466618301,5,2712810212,0.7042
2466618301,6,2736952328,0.6978
2466618301,7,2693274790,0.683
2466618301,8,2693274790,0.683
2466618301,9,2597117828,0.6692
2466618301,10,2693243234,0.6686
2714241366,1,2604853678,0.858
2714241366,2,2525943195,0.8356
2714241366,3,2525943195,0.8356
2714241366,4,2525943195,0.8356
2714241366,5,2713409873,0.8237
2714241366,6,2713409873,0.8237
2714241366,7,2510214330,0.8012
2714241366,8,2683895727,0.7986
2714241366,9,2683895727,0.7986
2714241366,10,2452917518,0.797
2708007460,1,2713226882,0.7397
2708007460,2,2713226882,0.7397
2708007460,3,2737581719,0.7252
2708007460,4,2738218276,0.7124
2708007460,5,2734175701,0.7084
2708007460,6,2870336073,0.6993
2708007460,7,2686909199,0.6968
2708007460,8,2511701152,0.6888
2708007460,9,2525282020,0.6877
2708007460,10,2737744439,0.6869
2737844789,1,2727992363,0.9627
2737844789,2,2874066701,0.7567
2737844789,3,2874066701,0.7567
2737844789,4,2612047691,0.7488
2737844789,5,2612047691,0.7488
2737844789,6,2728897648,0.7331
2737844789,7,2728897648,0.7331
2737844789,8,2455566870,0.7154
2737844789,9,2455566870,0.7154
2737844789,10,2455566870,0.7154
2451028901,1,2451028612,0.795
2451028901,2,2451028612,0.795
2451028901,3,2451028612,0.795
2451028901,4,2733712513,0.7617
2451028901,5,2733712513,0.7617
2451028901,6,2595649895,0.7272
2451028901,7,2595649895,0.7272
2451028901,8,2595649895,0.7272
2451028901,9,2697839964,0.6891
2451028901,10,2697839964,0.6891
2460637080,1,2739380305,0.9586
2460637080,2,2717527016,0.866
2460637080,3,2717527016,0.866
2460637080,4,2448106657,0.83
2460637080,5,2727903511,0.8202
2460637080,6,2868448874,0.7935
2460637080,7,2868448874,0.7935
2460637080,8,2868448874,0.7935
