thesis_id,cluster_id,dist_to_centroid,dist_to_global_centroid,lof_score,isolation_forest_anomaly
2868333190,98,0.3032,0.5468,1.0155,-0.0364
2868333131,19,0.4677,0.4921,1.1014,-0.0499
2872988369,-1,0.644,0.6637,1.1489,-0.0203
2872712978,29,0.5531,0.6852,1.4918,-0.0107
2854137646,79,0.5494,0.7432,1.2034,0.0065
2868255922,47,0.374,0.5338,1.0641,-0.0509
2868295057,42,0.4473,0.5206,1.107,-0.0515
2872572203,68,0.4067,0.5409,1.0721,-0.0365
2727253558,40,0.4172,0.6436,1.0429,-0.024
2735732220,-1,0.5952,0.6043,1.0327,-0.0325
2466618301,-1,0.556,0.5501,1.5665,-0.0345
2714241366,114,0.3347,0.5784,1.0166,-0.0407
2708007460,35,0.3761,0.4752,1.0787,-0.0659
2737844789,79,0.4288,0.6483,1.1157,-0.016
2451028901,33,0.3513,0.6182,1.1751,0.0092
2460637080,26,0.2096,0.4355,1.0225,-0.0706
2447742077,13,0.3805,0.54,1.0353,-0.0471
2720526425,69,0.2674,0.5009,0.9898,-0.0621
2872809669,-1,0.5951,0.6003,1.1143,-0.0239
2738355894,56,0.3333,0.5451,0.9878,-0.0619
2737581722,14,0.3308,0.5457,0.9873,-0.0546
2734397209,35,0.3898,0.4611,1.2293,-0.0794
2718659725,-1,0.5329,0.5371,1.0779,-0.0481
2737581719,-1,0.5229,0.5277,1.0546,-0.0348
2736919842,81,0.403,0.5429,1.1057,-0.0247
2731250762,52,0.3541,0.5495,0.9793,-0.0611
2596339142,96,0.3369,0.6146,0.9909,-0.0239
2692210959,-1,0.5793,0.5753,1.3301,-0.0291
2692166323,5,0.4231,0.6883,1.0205,0.0243
2692142159,45,0.4141,0.6276,1.0135,-0.0077
2716532539,-1,0.6686,0.6544,1.0106,-0.0196
2739670893,4,0.4299,0.5045,1.1041,-0.0744
2450921667,88,0.2588,0.4487,0.9922,-0.06
2453517859,-1,0.4197,0.4202,1.0425,-0.074
2450741709,106,0.453,0.5831,1.1292,-0.0271
2526396487,45,0.3994,0.5716,1.0424,-0.0256
2596670150,100,0.3391,0.6067,0.9804,-0.0255
2597319260,77,0.3391,0.5836,0.9902,-0.0292
2683895789,50,0.4272,0.6683,1.0217,-0.0136
2693468616,-1,0.5886,0.5906,1.2507,0.0027
2691928375,-1,0.537,0.5389,1.0364,-0.0423
2713136028,4,0.4224,0.6439,1.0043,-0.0143
2713409600,4,0.5163,0.6504,1.118,-0.012
2729058492,-1,0.562,0.5501,0.9664,-0.0486
2732753043,44,0.3742,0.4784,1.0917,-0.0464
2727629197,-1,0.4874,0.5031,0.9973,-0.0615
2727903511,26,0.2856,0.4535,0.9676,-0.0647
2640810128,105,0.2928,0.5566,1.0005,-0.0414
2597213960,-1,0.5908,0.5956,1.1835,-0.0181
2726980860,12,0.5087,0.6866,1.2155,0.0131
2727054581,115,0.4927,0.6721,1.036,-0.0106
2733712681,62,0.2255,0.581,1.0375,-0.026
2718340542,-1,0.7208,0.7119,1.1454,-0.0082
2737855393,114,0.4059,0.6096,1.0307,-0.0149
2727406345,100,0.3551,0.5151,1.0732,-0.0433
2737859065,-1,0.4316,0.4217,0.9705,-0.0716
2693243150,46,0.3479,0.5732,1.0117,-0.047
