thesis_id,cluster_id,isolation_forest_anomaly,dist_to_centroid
2728423480,114,0.0711,0.927
2728423480,114,0.0711,0.927
2451183826,0,0.0705,0.0777
2733712869,9,0.0626,0.7673
2707790681,0,0.0621,0.0201
2707790681,0,0.0621,0.0201
2691560127,7,0.0601,0.1513
2691560127,7,0.0601,0.1513
2691222053,-1,0.0601,0.9655
2691222053,-1,0.0601,0.9655
2689435230,7,0.0601,0.1509
2604853579,7,0.0594,0.1433
2873097215,14,0.0589,0.8333
2451028914,7,0.0586,0.1486
2613750877,7,0.0582,0.2228
2450280347,7,0.0575,0.1461
2524918603,7,0.0561,0.132
2713241706,7,0.0558,0.139
2713241706,7,0.0558,0.139
2597274444,0,0.0557,0.0244
2597151369,7,0.0555,0.1426
2519323207,7,0.0551,0.1478
2489514289,7,0.0544,0.1271
2525645284,7,0.0544,0.1376
2525645284,7,0.0544,0.1376
2453439886,7,0.0544,0.1399
2599155497,0,0.0522,0.0211
2692210964,0,0.0522,0.0233
2692210964,0,0.0522,0.0233
2723191168,0,0.0518,0.026
2706296913,0,0.0511,0.0199
2706296913,0,0.0511,0.0199
2706296913,0,0.0511,0.0199
2720010098,0,0.0511,0.0166
2727253545,0,0.0508,0.0171
2727253545,0,0.0508,0.0171
2612047702,0,0.0507,0.0218
2717563361,0,0.0504,0.0263
2734362965,0,0.0501,0.0273
2734362965,0,0.0501,0.0273
2604853398,0,0.0492,0.0154
2728811186,114,0.049,0.6016
2728811186,114,0.049,0.6016
2728811186,114,0.049,0.6016
2712470329,-1,0.0486,0.9525
2730752531,0,0.0483,0.0144
2730752531,0,0.0483,0.0144
2708437238,7,0.0476,0.1352
2723792338,0,0.0471,0.0344
2723792338,0,0.0471,0.0344
2723792338,0,0.0471,0.0344
2727248962,7,0.0468,0.1036
2451028885,-1,0.0467,0.8695
2728154028,7,0.0464,0.1269
2728154028,7,0.0464,0.1269
2737649080,0,0.0458,0.0566
2709360832,0,0.0456,0.0153
2709360832,0,0.0456,0.0153
2453685651,0,0.0452,0.0753
2714464833,0,0.0441,0.0184
2714464833,0,0.0441,0.0184
2594525123,7,0.0425,0.0843
2728359877,-1,0.0335,0.9529
2870826738,98,0.0315,0.5243
2598443196,-1,0.0293,0.7388
2598443196,-1,0.0293,0.7388
2728154033,79,0.0271,0.3131
2708933104,-1,0.0261,0.6476
2728315464,114,0.0252,0.518
2728315464,114,0.0252,0.518
2728315464,114,0.0252,0.518
2692166323,5,0.0243,0.4231
2872572364,-1,0.0243,0.6819
2690909404,-1,0.0242,0.7337
2690909404,-1,0.0242,0.7337
2737744391,24,0.0229,0.3919
2868599457,12,0.0227,0.5829
2868599457,12,0.0227,0.5829
2872572091,23,0.0222,0.5907
2595078573,-1,0.0207,0.692
2595078573,-1,0.0207,0.692
2873784039,4,0.0205,0.6065
2873643588,-1,0.02,0.7266
2873643588,-1,0.02,0.7266
2706416023,114,0.0197,0.4967
2872134651,-1,0.0182,0.6778
2872134651,-1,0.0182,0.6778
2595758215,96,0.0181,0.4581
2595758215,96,0.0181,0.4581
2728897648,-1,0.0176,0.685
2728897648,-1,0.0176,0.685
2873408363,-1,0.0174,0.7416
2740134769,114,0.0173,0.5909
2686887836,115,0.0171,0.4825
2872658277,5,0.017,0.4266
2868333164,-1,0.0168,0.7013
2727517049,17,0.0167,0.4829
2738522533,65,0.0161,0.5312
2738522533,65,0.0161,0.5312
2726462460,114,0.0156,0.5182
2726462460,114,0.0156,0.5182
2726462460,114,0.0156,0.5182
2501486766,114,0.0156,0.5183
2734125196,-1,0.0155,0.7071
2873197273,90,0.0155,0.4317
2734125196,-1,0.0155,0.7071
2734125196,-1,0.0155,0.7071
2467822464,1,0.0154,0.3334
2626728425,68,0.0152,0.4911
2724495439,1,0.015,0.2838
2724495439,1,0.015,0.2838
2738372065,-1,0.0149,0.6809
2738372065,-1,0.0149,0.6809
2738372065,-1,0.0149,0.6809
2597151367,-1,0.0149,0.6573
2727470922,79,0.0145,0.4089
2531544040,-1,0.0134,0.5966
2531544040,-1,0.0134,0.5966
2531544040,-1,0.0134,0.5966
2726980860,12,0.0131,0.5087
2730671497,14,0.0131,0.5591
2872833726,24,0.0128,0.4082
2873041236,114,0.0124,0.6365
