thesis_id,cluster_id,lof_score,dist_to_centroid
2596188804,97,42.6949,0.3778
2727447217,7,36.976,0.5875
2727447217,7,36.976,0.5875
2873751791,-1,34.1206,0.6768
2877417183,-1,31.486,0.5811
2738135723,-1,28.8179,0.6861
2597470185,-1,27.2438,0.5015
2497546604,7,26.1064,0.4738
2868448664,-1,25.8806,0.5921
2735225091,-1,19.7661,0.5551
2735225091,-1,19.7661,0.5551
2707790601,7,14.6296,0.371
2707790601,7,14.6296,0.371
2595588531,7,12.1647,0.309
2595488058,7,10.1198,0.3064
2451183826,0,6.3441,0.0777
2548113242,9,5.982,0.4548
2453685651,0,5.4446,0.0753
2727365797,7,4.9004,0.2049
2727365797,7,4.9004,0.2049
2613750877,7,3.2306,0.2228
2626728686,47,3.1599,0.539
2626728686,47,3.1599,0.539
2737649080,0,2.9565,0.0566
2596766073,-1,2.5242,0.6482
2596766073,-1,2.5242,0.6482
2733712869,9,2.4507,0.7673
2713787532,1,2.3901,0.4709
2713787532,1,2.3901,0.4709
2854365794,-1,2.3067,0.5421
2730533264,-1,2.3025,0.4468
2727248962,7,2.1945,0.1036
2451028914,7,2.177,0.1486
2691560127,7,2.176,0.1513
2691560127,7,2.176,0.1513
2689435230,7,2.1752,0.1509
2734125196,-1,2.1453,0.7071
2734125196,-1,2.1453,0.7071
2734125196,-1,2.1453,0.7071
2872571929,114,2.0909,0.5051
2872571929,114,2.0909,0.5051
2728423478,-1,2.0711,0.5056
2856861908,107,2.0563,0.5219
2856861908,107,2.0563,0.5219
2728423480,114,2.0477,0.927
2728423480,114,2.0477,0.927
2718825287,44,2.0332,0.5602
2735732253,-1,1.9751,0.7243
2735732253,-1,1.9751,0.7243
2735732253,-1,1.9751,0.7243
2731441402,84,1.9171,0.5222
2722957677,114,1.8995,0.416
2723792338,0,1.8941,0.0344
2723792338,0,1.8941,0.0344
2723792338,0,1.8941,0.0344
2735364455,95,1.8496,0.5266
2735364455,95,1.8496,0.5266
2636463003,1,1.8481,0.4197
2712470329,-1,1.8282,0.9525
2708933076,-1,1.8135,0.4461
2873041232,112,1.7999,0.5715
2873041232,112,1.7999,0.5715
2727838124,44,1.7255,0.547
2679238940,-1,1.6909,0.6781
2529020570,55,1.6666,0.5139
2723808911,107,1.6649,0.4562
2471512194,-1,1.6595,0.57
2690288532,113,1.6471,0.5785
2874582062,4,1.6367,0.4541
2874582062,4,1.6367,0.4541
2868927319,-1,1.6364,0.4909
2597151369,7,1.6358,0.1426
2450280347,7,1.6358,0.1461
2713241706,7,1.6358,0.139
2713241706,7,1.6358,0.139
2604853579,7,1.6358,0.1433
2519323207,7,1.6358,0.1478
2524918603,7,1.6358,0.132
2525645284,7,1.6358,0.1376
2525645284,7,1.6358,0.1376
2594525123,7,1.6358,0.0843
2453439886,7,1.6358,0.1399
2691928258,26,1.6325,0.5228
2714065308,-1,1.6257,0.5927
2738522543,43,1.621,0.4812
2738522543,43,1.621,0.4812
2737410654,4,1.6162,0.5101
2738996652,45,1.5881,0.6263
2873097215,14,1.5823,0.8333
2698316810,-1,1.5783,0.564
2452917741,114,1.5689,0.6074
2452917741,114,1.5689,0.6074
2466618301,-1,1.5665,0.556
2728359877,-1,1.5648,0.9529
2598587207,-1,1.5566,0.654
2598587207,-1,1.5566,0.654
2724002592,12,1.5507,0.6302
2724002592,12,1.5507,0.6302
2626729216,-1,1.5327,0.5372
2730334483,-1,1.529,0.6004
2868406251,45,1.5273,0.4443
2873041139,112,1.5269,0.4856
2873525317,35,1.5204,0.5122
2727253493,-1,1.5189,0.5899
2733712435,56,1.5184,0.4884
2718713562,4,1.5125,0.4936
2718713562,4,1.5125,0.4936
2718713562,4,1.5125,0.4936
2870214603,113,1.5068,0.529
2870214603,113,1.5068,0.529
2709139064,44,1.504,0.3828
2720010105,27,1.5038,0.465
2494993775,23,1.5033,0.6727
2727853940,-1,1.5023,0.6416
2727853940,-1,1.5023,0.6416
2728796990,86,1.496,0.4884
2737226473,-1,1.4948,0.4989
2737226473,-1,1.4948,0.4989
2737226473,-1,1.4948,0.4989
2692166276,-1,1.4939,0.4809
2872712978,29,1.4918,0.5531
2727471337,-1,1.4913,0.4696
2451028885,-1,1.4912,0.8695
2728330086,1,1.4885,0.3636
2728330086,1,1.4885,0.3636
2874113070,100,1.4812,0.4928
2691222053,-1,1.4797,0.9655
2691222053,-1,1.4797,0.9655
2691980156,56,1.4792,0.4968
2691980156,56,1.4792,0.4968
2505351667,56,1.4761,0.462
2710054503,-1,1.471,0.5126
2710054503,-1,1.471,0.5126
2708800770,88,1.4682,0.4158
2708800770,88,1.4682,0.4158
2729092629,-1,1.4638,0.5681
2737511619,85,1.4634,0.4319
2718401530,112,1.4622,0.5129
2448324480,3,1.4617,0.4777
2448324480,3,1.4617,0.4777
2873546432,-1,1.4616,0.5825
