Department_new,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154
DTU Aqua,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DTU Bioengineering,58,0,0,0,0,0,0,3,0,1,0,0,0,7,0,0,0,0,5,0,0,0,0,0,12,0,15,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,27,0,0,0,0,0,0,0,3,0,0,0,0,0,4,17,8,10,42,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DTU Chemical Engineering,27,0,0,0,0,0,12,0,2,0,0,0,0,2,0,0,0,0,10,0,0,0,1,0,2,0,7,0,10,24,0,0,0,0,3,0,0,0,20,0,0,0,0,9,5,0,0,2,0,0,0,0,11,4,1,1,0,0,0,0,0,1,2,8,1,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,6,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DTU Chemistry,27,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,27,0,0,0,0,0,19,0,0,0,2,8,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DTU Compute,296,0,23,0,0,0,0,3,1,8,1,0,1,7,20,0,0,0,0,1,0,0,2,0,0,2,2,0,3,0,3,0,0,0,0,2,0,0,1,0,0,4,1,0,0,3,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,1,0,0,0,0,0,0,14,0,10,16,23,27,32,0,45,17,10,0,2,0,25,17,2,1,0,0,7,23,0,6,4,1,0,2,0,2,6,0,0,21,21,23,1,46,7,9,5,0,19,0,62,0,0,5,5,1,13,66,1,16,17,27,1,0,0,1,0,10,7,2,6,1,2,13,22,29,8,0,0,11,13,0,2,1,3,0
DTU Construct,273,0,0,15,14,30,7,0,14,8,2,1,0,6,0,0,15,15,0,0,0,7,2,21,0,0,0,0,0,0,0,0,0,40,40,38,0,2,2,2,7,0,9,0,0,0,0,9,25,0,0,0,0,0,0,1,0,0,4,18,0,11,5,11,0,4,5,26,11,1,0,22,19,0,0,0,0,16,0,0,0,0,2,44,0,0,0,0,0,0,0,6,0,0,0,0,0,2,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,20,33,0,1,0,0,25,0,0,0,0,1,0,8,0,2,0,1,3,0,0,2,1,0,0,19,26,0,0,2,7,16,14,6
DTU Electro,130,14,2,0,4,0,0,3,0,5,0,3,0,6,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,16,26,4,3,0,22,0,0,3,0,0,1,0,0,20,24,0,0,6,0,0,0,2,0,1,0,3,2,0,0,1,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,9,11,5,2,1,2,5,1,3,0,9,0,4,0,8,7,0,0,2,4,0,0,0,0,0,0,9,30,25,2,16,55,14,28,13,18,0,0,0,1,1,0,0,18,6,0,0,0,0,0
DTU Energy,12,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,14,2,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,13,33,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DTU Engineering Technology,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,1,0,3,0
DTU Food,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,19,0,0,0,0,0,17,12,0,0,0,1,0,0,0,35,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
DTU Health Tech,85,0,0,0,0,0,3,9,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,8,16,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,50,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,40,0,0,0,0,0,12,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,6,4,0,0,0,15,19,0,0,2,0,0,0,0,0,0,28,14,0,0,2,0,0,2,0,0,49,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,8,5,14,0,0,0,0,0,0,0,0,0
