Department_new,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154
DTU Aqua,0.045871559633027525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6972477064220184,0.0,0.0,0.0,0.0,0.12844036697247707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03669724770642202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01834862385321101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03669724770642202,0.0,0.009174311926605505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027522935779816515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DTU Bioengineering,0.23868312757201646,0.0,0.0,0.0,0.0,0.0,0.0,0.012345679012345678,0.0,0.00411522633744856,0.0,0.0,0.0,0.02880658436213992,0.0,0.0,0.0,0.0,0.0205761316872428,0.0,0.0,0.0,0.0,0.0,0.04938271604938271,0.0,0.06172839506172839,0.0,0.0,0.00411522633744856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00411522633744856,0.0,0.03292181069958848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06172839506172839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00411522633744856,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012345679012345678,0.0,0.0,0.0,0.0,0.0,0.01646090534979424,0.06995884773662552,0.03292181069958848,0.0411522633744856,0.1728395061728395,0.0,0.0205761316872428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DTU Chemical Engineering,0.1443850267379679,0.0,0.0,0.0,0.0,0.0,0.06417112299465241,0.0,0.0106951871657754,0.0,0.0,0.0,0.0,0.0106951871657754,0.0,0.0,0.0,0.0,0.053475935828877004,0.0,0.0,0.0,0.0053475935828877,0.0,0.0106951871657754,0.0,0.0374331550802139,0.0,0.053475935828877004,0.12834224598930483,0.0,0.0,0.0,0.0,0.016042780748663103,0.0,0.0,0.0,0.10695187165775401,0.0,0.0,0.0,0.0,0.0481283422459893,0.026737967914438502,0.0,0.0,0.0106951871657754,0.0,0.0,0.0,0.0,0.058823529411764705,0.0213903743315508,0.0053475935828877,0.0053475935828877,0.0,0.0,0.0,0.0,0.0,0.0053475935828877,0.0106951871657754,0.0427807486631016,0.0053475935828877,0.0,0.0,0.0213903743315508,0.0,0.016042780748663103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0106951871657754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0106951871657754,0.03208556149732621,0.0106951871657754,0.016042780748663103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DTU Chemistry,0.2967032967032967,0.03296703296703297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01098901098901099,0.0,0.0,0.0,0.0,0.2967032967032967,0.0,0.0,0.0,0.0,0.0,0.2087912087912088,0.0,0.0,0.0,0.02197802197802198,0.08791208791208792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04395604395604396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DTU Compute,0.24769874476987447,0.0,0.019246861924686193,0.0,0.0,0.0,0.0,0.002510460251046025,0.0008368200836820083,0.0066945606694560665,0.0008368200836820083,0.0,0.0008368200836820083,0.005857740585774059,0.016736401673640166,0.0,0.0,0.0,0.0,0.0008368200836820083,0.0,0.0,0.0016736401673640166,0.0,0.0,0.0016736401673640166,0.0016736401673640166,0.0,0.002510460251046025,0.0,0.002510460251046025,0.0,0.0,0.0,0.0,0.0016736401673640166,0.0,0.0,0.0008368200836820083,0.0,0.0,0.0033472803347280333,0.0008368200836820083,0.0,0.0,0.002510460251046025,0.0,0.0,0.0,0.0,0.0016736401673640166,0.0,0.0,0.002510460251046025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013389121338912133,0.0,0.0,0.0,0.0008368200836820083,0.0,0.0,0.0,0.0,0.0,0.0,0.011715481171548118,0.0,0.008368200836820083,0.013389121338912133,0.019246861924686193,0.022594142259414227,0.026778242677824266,0.0,0.03765690376569038,0.014225941422594143,0.008368200836820083,0.0,0.0016736401673640166,0.0,0.02092050209205021,0.014225941422594143,0.0016736401673640166,0.0008368200836820083,0.0,0.0,0.005857740585774059,0.019246861924686193,0.0,0.00502092050209205,0.0033472803347280333,0.0008368200836820083,0.0,0.0016736401673640166,0.0,0.0016736401673640166,0.00502092050209205,0.0,0.0,0.017573221757322177,0.017573221757322177,0.019246861924686193,0.0008368200836820083,0.038493723849372385,0.005857740585774059,0.007531380753138075,0.0041841004184100415,0.0,0.015899581589958158,0.0,0.05188284518828452,0.0,0.0,0.0041841004184100415,0.0041841004184100415,0.0008368200836820083,0.010878661087866108,0.055230125523012555,0.0008368200836820083,0.013389121338912133,0.014225941422594143,0.022594142259414227,0.0008368200836820083,0.0,0.0,0.0008368200836820083,0.0,0.008368200836820083,0.005857740585774059,0.0016736401673640166,0.00502092050209205,0.0008368200836820083,0.0016736401673640166,0.010878661087866108,0.018410041841004185,0.024267782426778243,0.0066945606694560665,0.0,0.0,0.009205020920502092,0.010878661087866108,0.0,0.0016736401673640166,0.0008368200836820083,0.002510460251046025,0.0
DTU Construct,0.2692307692307692,0.0,0.0,0.014792899408284023,0.013806706114398421,0.029585798816568046,0.006903353057199211,0.0,0.013806706114398421,0.007889546351084813,0.0019723865877712033,0.0009861932938856016,0.0,0.005917159763313609,0.0,0.0,0.014792899408284023,0.014792899408284023,0.0,0.0,0.0,0.006903353057199211,0.0019723865877712033,0.020710059171597635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03944773175542406,0.03944773175542406,0.03747534516765286,0.0,0.0019723865877712033,0.0019723865877712033,0.0019723865877712033,0.006903353057199211,0.0,0.008875739644970414,0.0,0.0,0.0,0.0,0.008875739644970414,0.02465483234714004,0.0,0.0,0.0,0.0,0.0,0.0,0.0009861932938856016,0.0,0.0,0.0039447731755424065,0.01775147928994083,0.0,0.010848126232741617,0.004930966469428008,0.010848126232741617,0.0,0.0039447731755424065,0.004930966469428008,0.02564102564102564,0.010848126232741617,0.0009861932938856016,0.0,0.021696252465483234,0.01873767258382643,0.0,0.0,0.0,0.0,0.015779092702169626,0.0,0.0,0.0,0.0,0.0019723865877712033,0.04339250493096647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005917159763313609,0.0,0.0,0.0,0.0,0.0,0.0019723865877712033,0.005917159763313609,0.0009861932938856016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007889546351084813,0.0,0.0,0.01972386587771203,0.03254437869822485,0.0,0.0009861932938856016,0.0,0.0,0.02465483234714004,0.0,0.0,0.0,0.0,0.0009861932938856016,0.0,0.007889546351084813,0.0,0.0019723865877712033,0.0,0.0009861932938856016,0.0029585798816568047,0.0,0.0,0.0019723865877712033,0.0009861932938856016,0.0,0.0,0.01873767258382643,0.02564102564102564,0.0,0.0,0.0019723865877712033,0.006903353057199211,0.015779092702169626,0.013806706114398421,0.005917159763313609
DTU Electro,0.19145802650957292,0.020618556701030927,0.0029455081001472753,0.0,0.005891016200294551,0.0,0.0,0.004418262150220913,0.0,0.007363770250368188,0.0,0.004418262150220913,0.0,0.008836524300441826,0.0,0.0,0.0,0.0,0.0,0.0,0.013254786450662739,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023564064801178203,0.03829160530191458,0.005891016200294551,0.004418262150220913,0.0,0.03240058910162003,0.0,0.0,0.004418262150220913,0.0,0.0,0.0014727540500736377,0.0,0.0,0.029455081001472753,0.035346097201767304,0.0,0.0,0.008836524300441826,0.0,0.0,0.0,0.0029455081001472753,0.0,0.0014727540500736377,0.0,0.004418262150220913,0.0029455081001472753,0.0,0.0,0.0014727540500736377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.060382916053019146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014727540500736377,0.0,0.0,0.0,0.0029455081001472753,0.0,0.0,0.0,0.0014727540500736377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022091310751104567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013254786450662739,0.016200294550810016,0.007363770250368188,0.0029455081001472753,0.0014727540500736377,0.0029455081001472753,0.007363770250368188,0.0014727540500736377,0.004418262150220913,0.0,0.013254786450662739,0.0,0.005891016200294551,0.0,0.011782032400589101,0.010309278350515464,0.0,0.0,0.0029455081001472753,0.005891016200294551,0.0,0.0,0.0,0.0,0.0,0.0,0.013254786450662739,0.044182621502209134,0.036818851251840944,0.0029455081001472753,0.023564064801178203,0.08100147275405008,0.020618556701030927,0.041237113402061855,0.01914580265095729,0.026509572901325478,0.0,0.0,0.0,0.0014727540500736377,0.0014727540500736377,0.0,0.0,0.026509572901325478,0.008836524300441826,0.0,0.0,0.0,0.0,0.0
DTU Energy,0.11320754716981132,0.0,0.0,0.0,0.018867924528301886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02830188679245283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1320754716981132,0.018867924528301886,0.0,0.0,0.0,0.0,0.0,0.0,0.05660377358490566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03773584905660377,0.0,0.12264150943396226,0.3113207547169811,0.0,0.0,0.0,0.0,0.0,0.0,0.04716981132075472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009433962264150943,0.0,0.0,0.02830188679245283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05660377358490566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018867924528301886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DTU Engineering Technology,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.04,0.0,0.12,0.0
DTU Food,0.36477987421383645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006289308176100629,0.0,0.0,0.0,0.0,0.0,0.0,0.012578616352201259,0.0,0.012578616352201259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018867924528301886,0.0,0.0,0.006289308176100629,0.025157232704402517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006289308176100629,0.0,0.0,0.0,0.0,0.0,0.11949685534591195,0.0,0.0,0.0,0.0,0.0,0.1069182389937107,0.07547169811320754,0.0,0.0,0.0,0.006289308176100629,0.0,0.0,0.0,0.22012578616352202,0.012578616352201259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006289308176100629,0.0,0.0,0.0
