"abstract_ts";"access_ss";"Affiliations";"Timestamp";"Author";"citation_count_i";"ID";"dtu_library_collection_facet";"collection_facet";"Publication Year";"Conference";"DOI";"Editor";"embargo_ssf";"format";"fulltext_availability_facet";"has_openaccess_fulltext_b";"holdings_ssf";"ISBN";"Journal Issue";"journal_issue_tsort";"journal_oa_model_ss";"Journal Page";"journal_page_start_tsort";"Journal Title";"journal_title_facet";"toc_key_s";"Journal Volume";"journal_vol_tsort";"keywords_ts";"keywords_facet";"keywords_normalized";"isolanguage_facet";"member_id_ss";"ORCID";"primary_member_id_s";"Publisher";"Source";"source_all_ss";"Title"
"Hedgehog (Hh) signaling is involved in cancer cell growth. However, the effects of Hh stimulation on leukemia cells are unknown. The effects of recombinant sonic Hedgehog (Shh) protein on the in vitro growth of one B-lymphoma and four myeloid leukemia cell lines were examined. Shh stimulation had no significant effect on the short-term growth of whole cell populations in any of the five cell lines. However, Shh promoted clonogenic cell recovery after suspension culture, suggesting promotion of leukemia stem or progenitor cell amplification in three cell lines. The lack of Hh receptors in one cell line and endogenous Shh expression in another were possible reasons for the lack of effects of Shh in these cases. These results suggest that Shh stimulation promotes the self-renewal capacity of leukemia stem cells in some cell lines. Inhibition of Hh signaling could represent a novel therapeutic approach in leukemia.";"dtupub";"Department of Laboratory Medicine, Tokyo Medical and Dental University, Yushima 1-5-45, Bunkyo-Ku, Tokyo 113-8519, Japan.";"2022-01-09T23:28:25.595Z";"Kawaguchi-Ihara, Noriko|Okuhashi, Yuki|Itoh, Mai|Murohashi, Ikuo|Nara, Nobuo|Tohda, Shuji";"";"2467727601";"";"dtu";"2011";"";"";"";"";"article";"dtu|dtu_electronic|dtupub|dtupub_electronic";"";"";"";"3";"";"";"781-4|781-784";"";"Anticancer Research|Anticancer Research|Anticancer Res|Anticanc R|Anticancer Res";"Anticanc R|Anticancer Res|Anticancer Research";"02507005|000088|000031|000003|000000";"31";"";"Shh protein, mouse|Animals|Clone Cells|Humans|Leukemia|Lymphoma|Time Factors|Tumor Stem Cell Assay|Gene Expression Regulation, Leukemic|Reverse Transcriptase Polymerase Chain Reaction|Cell Line, Tumor|Cell Shape|Cell Proliferation|Mice|Hedgehog Proteins";"Animals|Cell Line, Tumor|Cell Proliferation|Cell Shape|Clone Cells|Gene Expression Regulation, Leukemic|Hedgehog Proteins|Humans|Leukemia|Lymphoma|Mice|Reverse Transcriptase Polymerase Chain Reaction|Shh protein, mouse|Time Factors|Tumor Stem Cell Assay";"Shh protein, mouse|Animals|Clone Cells|Humans|Leukemia|Lymphoma|Time Factors|Tumor Stem Cell Assay|Gene Expression Regulation, Leukemic|Reverse Transcriptase Polymerase Chain Reaction|Cell Line, Tumor|Cell Shape|Cell Proliferation|Mice|Hedgehog Proteins";"eng";"54b73f9425bab9230a5e089d";"";"54b73f9425bab9230a5e089d";"";"pubmed";"pubmed";"Promotion of the self-renewal capacity of human leukemia cells by sonic hedgehog protein"
"";"dtupub";"N. D. Zelinsky Institute of Organic Chemistry RAS, Moscow, 119991, Russia|ALBA synchrotron—CELLS, Campus UAB, 08193 Bellaterra, Barcelona, Spain";"2022-01-04T19:00:46.383Z";"Isaeva, Vera I.|Tkachenko, Olga P.|Mishin, Igor V.|Kapustin, Gennady I.|Kostin, Andrey A.|Klementiev, Konstantin V.|Kustov, Leonid M.";"";"5108731";"";"dtu";"2008";"";"10.1016/S0167-2991(08)80241-8";"";"";"article";"dtu|dtu_electronic|dtupub_external";"";"";"0444532978|9780444532978";"";"";"";"463-466";"";"Studies in Surface Science and Catalysis|St Surf Sci|Stud Surf Sci Catal|Studies in Surface Science and Catalysis|Surf. Sci. Cat";"St Surf Sci|Stud Surf Sci Catal|Studies in Surface Science and Catalysis|Surf. Sci. Cat";"01672991|000091|000174|000000|000000";"174";"";"";"";"";"eng";"5fdcbb70d9001d020d621381";"";"5fdcbb70d9001d020d621381";"";"elsevier";"elsevier";"Application of MOF-5 as a component of heterogeneous catalytic systems for the liquid phase hydrogenation"
"Four new labdane diterpenes, amoenolide A [1] and its 19-acetate [2], 6-acetate [3], and 6,19-diacetate [4], were isolated from the above-ground parts of Amphiachyris amoena and their structures established by spectral and chemical methods. High-field 1H- and 13C-nmr assignments were made for each compound using 1D and 2D nmr techniques including 1H single-frequency spin-coupling and nOe difference experiments, one-bond and long-range carbon-hydrogen correlations, and the INADEQUATE carbon-carbon connectivity experiment. The absolute stereochemistry was established by the Horeau partial-resolution chemical method with amoenolide A and racemic 2-phenylbutyric anhydride, and by the cd exciton splitting physical method on the synthetic amoenolide A 2-acetate 6,19-dibenzoate [9].";"dtupub";"Division of Medicinal Chemistry and Pharmacognosy, College of Pharmacy, Ohio State University, Columbus 43210-1291.";"2022-01-06T03:36:21.451Z";"O'Mathúna, D P|Doskotch, R W";"";"2584996411";"";"dtu";"1994";"";"10.1021/np50108a013";"";"";"article";"dtu|dtu_electronic|dtupub_external";"";"";"";"6";"";"";"767-75|767-775";"";"Journal of Natural Products|Journal of Natural Products|J Nat Prod|J Nat Prod|J. Nat. Prod";"J Nat Prod|J. Nat. Prod|Journal of Natural Products";"01633864|000105|000057|000006|000000";"57";"";"amoenolide A|Acetylation|Diterpenes|Molecular Conformation|Naphthols|Magnetic Resonance Spectroscopy|Plants, Medicinal|4-Butyrolactone";"4-Butyrolactone|Acetylation|Diterpenes|Magnetic Resonance Spectroscopy|Molecular Conformation|Naphthols|Plants, Medicinal|amoenolide A";"amoenolide A|Acetylation|Diterpenes|Molecular Conformation|Naphthols|Magnetic Resonance Spectroscopy|Plants, Medicinal|4-Butyrolactone";"eng";"5caf6d18d9001d027b809441|54b660fc1e4536920313cfae";"";"54b660fc1e4536920313cfae";"";"crossref|pubmed";"crossref|pubmed";"Amoenolide A and related acetylated labdane diterpenes from Amphiachyris amoena"
"";"dtu|dtupub";"";"2022-01-08T21:22:25.439Z";"GREAVES, D P";"";"100286961";"";"";"1955";"";"";"";"";"article";"dtu_external|dtupub_external";"";"";"";"";"";"";"121-135|121-35";"";"Transactions. Ophthalmological Society of the United Kingdom|Trans Ophthalmol Soc U K";"Trans Ophthalmol Soc U K|Transactions. Ophthalmological Society of the United Kingdom";"";"75";"";"Analgesia|Anesthesia|Anesthesia and Analgesia|Epinephrine|Humans|Intraocular Pressure|Lidocaine|Procaine|Tonometry, Ocular|EPINEPHRINE/effects|INTRAOCULAR PRESSURE/effect of drugs on|LIDOCAINE/anesthesia and analgesia|PROCAINE/effects";"Analgesia|Anesthesia|Anesthesia and Analgesia|EPINEPHRINE/effects|Epinephrine|Humans|INTRAOCULAR PRESSURE/effect of drugs on|Intraocular Pressure|LIDOCAINE/anesthesia and analgesia|Lidocaine|PROCAINE/effects|Procaine|Tonometry, Ocular";"Analgesia|Anesthesia|Anesthesia and Analgesia|Epinephrine|Humans|Intraocular Pressure|Lidocaine|Procaine|Tonometry, Ocular|EPINEPHRINE/effects|INTRAOCULAR PRESSURE/effect of drugs on|LIDOCAINE/anesthesia and analgesia|PROCAINE/effects";"eng";"54b54040e11200022710102f";"";"54b54040e11200022710102f";"";"pubmed";"pubmed";"The effect of retrobulbar anaesthesia on intra-ocular pressure"
"";"dtu|dtupub";"York University";"2022-01-09T11:07:40.223Z";"Cuddy, Neil";"";"2349688821";"";"dtu";"1991";"";"10.3138/cjh.26.1.101";"";"";"article";"dtu|dtu_electronic|dtupub_external";"";"";"";"1";"";"";"101-103";"";"Canadian Journal of History|Journal of History|Canadian Journal of History";"Canadian Journal of History|Journal of History";"00084107|000108|000026|000001|000000";"26";"";"";"";"";"eng";"5cbf0129d9001d01a4c6a677";"";"5cbf0129d9001d01a4c6a677";"";"crossref";"crossref";"Charles I and the Road to Personal Rule, by L.J. Reeve"
"W–Nb/Ti composites were prepared by machine milling and spark plasma sintering. Field–emission scanning electron microscopy, high–resolution transmission electron microscopy, and X-ray diffraction analyses were used to characterize the samples. Thermal desorption spectroscopy (TDS) was used to measure the deuterium retention after only deuterium irradiation. The deuterium retention in W–4wt%Ti–wt1%Nb was lower than that in pure W (D2+ flux ∼1022 ions/(m2s), ion energy ∼5keV), Nb and Ti will improve the deuterium irradiation resistance of tungsten composite. In addition, transgranular and intergranular fractures were observed on the surface of the W–4wt% Ti–1wt% Nb composite. A Ti(X)W(1−X) solid solution was formed during sintering. The maximum tensile strength (410.53MPa) was detected in the W–4wt%Ti–1wt%Nb composite at 600°C.";"dtupub";"School of Materials Science and Engineering, Hefei University of Technology, Hefei 230009, China|Research Reactor Institute, Kyoto University, Osaka-Fu 590-0494, Japan|National–Local Joint Engineering Research Centre of Nonferrous Metals and Processing Technology, Hefei 230009, China";"2022-01-06T02:30:22.820Z";"Chen, Jing-Bo|Luo, Lai-Ma|Zhao, Mei-Ling|Xu, Qiu|Zan, Xiang|Wu, Yu-Cheng";"";"2560746891";"";"dtu";"2016";"";"10.1016/j.fusengdes.2016.07.003";"";"";"article";"dtu|dtu_electronic|dtupub_external";"";"";"";"";"";"";"349-354";"";"Fusion Engineering and Design|Fusion Eng|Fusion Eng Des|Fusion Eng. Des|Fusion Engineering and Design";"Fusion Eng|Fusion Eng Des|Fusion Eng. Des|Fusion Engineering and Design";"09203796|000083|000000|000000|000000";"112";"";"";"";"";"eng";"5cc2926dd9001d62a28999a1|58135d3459055a9e51004791";"";"58135d3459055a9e51004791";"";"crossref|elsevier";"crossref|elsevier";"Investigation of microstructure and irradiation behavior of W–Nb/Ti composites prepared by spark plasma sintering"
"Optics, aka functional references, are classes of tools that allow composable access into compound data structures. Usually defined as programming language libraries, they provide combinators to manipulate different shapes of data such as sums, products and collections, that can be composed to operate on larger structures. Together they form a powerful language to describe transformations of data. Among the different approaches to describing optics, one particular type of optics, called profunctor optics, stands out. It describes alternative but equivalent representations of most of the common combinators, and enhances them with elegant composability properties via a higher-order encoding. Notably, it enables easy composition across different optic families. Unfortunately, profunctor optics are difficult to reason about, and linking usual optics with an equivalent profunctor representation has so far been done on a case-by-case basis, with definitions that sometimes seem very ad hoc. This makes it hard both to analyse properties of existing profunctor optics and to define new ones. This thesis presents an equivalent representation of profunctor optics, called isomorphism optics, that is both closer to intuition and easier to reason about. This tool enables powerful theorems to be derived generically about profunctor optics. Finally, this thesis develops a framework to ease deriving new profunctor encodings from concrete optic families.";"dtu|dtupub|third_party";"";"2022-01-03T06:51:58.941Z";"Boisseau, Guillaume";"";"2491660454";"";"dtu";"2020";"";"";"";"";"article";"dtu|dtu_electronic|dtupub|dtupub_electronic";"";"";"";"";"";"";"65";"";"";"";"";"";"";"cs.PL";"cs.PL";"cs.PL";"und";"5e380ba9d9001d016c4bd7c7";"";"5e380ba9d9001d016c4bd7c7";"";"arxiv";"arxiv";"Understanding Profunctor Optics: a representation theorem"
"Evaluation, which is the systematic process of assessing the merit and/or worth of a program or other object, is essential to the success of any school or other social enterprise. A functional school evaluation system assesses all important aspects of the school, provides direction for improvement, maintains accountability records, and enhances understanding of teaching, learning, and other school processes. The focus of this chapter is on how schools can institutionalize a sound system of evaluation. Institutionalization of school-based evaluation is a complex, goal-directed process that includes conceptualizing, organizing, funding, staffing, installing, operating, using, assessing, and sustaining systematic evaluation of a school’s operations. The chapter is directed to persons and groups dedicated to improving a current evaluation system or installing a new one. These include school councils, principals, teachers, and those university, government, and service personnel engaged in helping schools increase their effectiveness.";"dtu|dtupub";"";"2022-02-01T14:27:00.296Z";"Stufflebeam, Daniel L.";"";"2706337302";"";"";"2003";"";"10.1007/978-94-010-0309-4_45";"";"";"article";"dtu_external|dtupub_external";"";"";"140200849X|140200849x|1780346034|9401003092|9401039380|9781402008498|9781780346038|9789401003094|9789401039383";"";"";"";"775-805";"";"International Handbook of Educational Evaluation";"International Handbook of Educational Evaluation";"";"";"";"External Evaluation|Program Evaluation|School Personnel|School Staff|Student Evaluation";"External Evaluation|Program Evaluation|School Personnel|School Staff|Student Evaluation";"External Evaluation|Program Evaluation|School Personnel|School Staff|Student Evaluation";"eng";"61f9407a15c79f17cd63c093";"";"61f9407a15c79f17cd63c093";"Springer Netherlands";"nature";"nature";"Institutionalizing Evaluation in Schools"
"A 52-year-old woman with angina pectoris resulted from complete obstruction of left coronary ostium required double-vessel bypass. Because of severely calcified ascending aorta, avoidance of aortic cross-clamping was needed for the prevention of embolic injury and aortic dissection. Internal mammary artery (IMA)-saphenous vein (SV) composite graft under hypothermic ventricular fibrillation was successfully performed without any complication. IMA-SV composite graft is a good alternative in a case of insufficient IMA length and limited site for proximal vein graft anastomosis, which can avoid or reduce the manipulation of diseased ascending aorta.";"dtu|dtupub";"Department of Cardiovascular Surgery, Akita University School of Medicine.";"2022-01-05T16:46:27.777Z";"Sekine, S|Kuribayashi, R|Sakurada, T|Aida, H|Seki, K|Goto, Y|Shibata, Y|Meguro, A|Hayashi, R|Abe, T";"";"2279145675";"";"";"1990";"";"";"";"";"article";"dtu_external|dtupub_external";"";"";"";"7";"";"";"573-5|573-575";"";"Kyobu Geka. the Japanese Journal of Thoracic Surgery|胸部外科|Kyobu Geka";"Kyobu Geka|Kyobu Geka. the Japanese Journal of Thoracic Surgery|胸部外科";"00215252|000109|000043|000007|000000";"43";"";"Aortic Diseases|Calcinosis|Coronary Disease|Female|Humans|Mammary Arteries|Middle Aged|Myocardial Revascularization|Saphenous Vein|Thoracic Arteries";"Aortic Diseases|Calcinosis|Coronary Disease|Female|Humans|Mammary Arteries|Middle Aged|Myocardial Revascularization|Saphenous Vein|Thoracic Arteries";"Aortic Diseases|Calcinosis|Coronary Disease|Female|Humans|Mammary Arteries|Middle Aged|Myocardial Revascularization|Saphenous Vein|Thoracic Arteries";"jpn";"54b63d9025bab9230a06be9c";"";"54b63d9025bab9230a06be9c";"";"pubmed";"pubmed";"Coronary revascularization using an internal mammary artery-saphenous vein composite graft in a patient with severely calcified ascending aorta"
"";"dtupub";"";"2022-01-07T12:45:25.621Z";"Beith, J. M.|Segelov, E.|Orme, K.|McLean, A.|Oh, B.";"";"2357038885";"";"dtu";"2011";"";"10.1200/jco.2011.29.15_suppl.tps120";"";"";"article";"dtu|dtu_electronic|dtupub|dtupub_electronic";"";"";"";"15_suppl";"";"";"TPS120-TPS120";"";"Journal of Clinical Oncology|Journal of Clinical Oncology|Jco|J Cl Oncol|J Clin Oncol|J. Clin. Oncol|Jco";"J Cl Oncol|J Clin Oncol|J. Clin. Oncol|Jco|Journal of Clinical Oncology";"0732183x|000088|000029|000015|000000";"29";"";"";"";"";"eng";"5cb4a13cd9001d01a44cf9bd";"";"5cb4a13cd9001d01a44cf9bd";"";"crossref";"crossref";"A randomized trial assessing the use of electro-acupuncture for aromatase inhibitor-induced arthralgia"
